Interprete,Album,Track,Tema
BRUNELLI FELICIANO,GRANDES EXITOS,18,EL CAIMAN
BRUNELLI FELICIANO,GRANDES EXITOS,18,EL CAIMAN
DARIENZO JUAN,MILONGA DEL 83,21,EL CALABOZO
FRESEDO OSVALDO,NIEBLA DEL RIACHUELO,17,EL CAMPEON
CANARO FRANSISCO,FRANSISCO CANARO.INTRUMENTALES DE COLECCION,10,EL CANILLITA
"ROSSI, RAFAEL","VALSES, RANCHERAS Y PASODOBLES",9,EL CANTAR DE LOS GITANOS
"CARABELLI, ADOLFO",ADOLFO CARABELLI 1927-1935,7,EL CANTAR DE LOS GITANOS
"TROILO, ANIBAL",DE MUY ADENTRO VOL. 04,16,EL CANTOR DE BUENOS AIRES
DAGOSTINO ANGEL,ASI ERA EL TANGO,15,EL CARDO AZUL
ALESSIO ENRIQUE,YO LLEVO UN TANGO...,9,EL CARRERITO
BIAGI RODOLFO,ESTRELLA,1,EL CARRERITO
CASTIILLO ALBERTO,ALBERTO CASTILLO.DE MI BARRIO,3,EL CARRERITO
D AMARIO VICTOR,D AMARIO VICTOR (1951-1953),14,EL CARRERITO
FRESEDO OSVALDO,DE PURO GUAPO,20,EL CARRERITO
CANARO FRANSISCO,FRANSISCO CANARO.INTRUMENTALES DE COLECCION,11,EL CARUBE
MORA ENRIQUE CUARTETO,EL CATEDRATICO,7,EL CATEDRATICO
BALIOTTI ARMANDO SEXTETO,BALIOTTI-KAPLUN,4,EL CENCERRO
BASSO JOSE,VOLUMEN 2,14,EL CENCERRO
BASSO JOSE,LOS MEJORES INSTRUMENTALES,20,EL CENCERRO
MANCIONE ALBERTO,AIETA-MARTINEZ,17,EL CENCERRO
MANCIONE ALBERTO,MANCIONE Y SUS CANTORES,7,EL CENCERRO
CALO MIGUEL,ESTIRPE DE TANGO,6,EL CHAMUYO
CANARO FRANSISCO,FRANSISCO CANARO.INSTRUMENTALES DE COLECCION,3,EL CHAMUYO
DONATO EDGARDO,CHIQUE,15,EL CHAMUYO
MANCIONE ALBERTO,CANARO FRANCISCO,15,EL CHAMUYO
ORQUESTA TIPICA VICTOR,ORQ. TIPICA VICTOR 78 RPM 1930/1944,1,EL CHAMUYO
ORQUESTA TIPICA VICTOR,ORQ.TIPICA VICTOR 1927/1934,11,EL CHAMUYO
ORQUESTA TIPICA VICTOR,CONJUNTOS DEL SELLO VICTOR,15,EL CHAMUYO
DE ANGELIS ALFREDO,PARA USTEDES...,4,EL CHAÑAR
DE ANGELIS ALFREDO,AROLAS EDUARDO,10,EL CHAÑAR
DARIENZO JUAN,MILONGUEANDO...,20,EL CHAPUCERO
CUARTETO TIPICO LOS ASES (DIR. JUAN CARLOS CAMBON),VARIOS INTERPRETES 78 RPM 1933/1944,12,EL CHIFLADO (EL CHIFLAO)
CUARTETO TIPICO LOS ASES,CUARTETO TIPICO LOS ASES,7,EL CHIFLAO
CANARO FRANCISCO,CON LOS AMIGOS,3,EL CHINO PANTALEON
CANARO FRANSISCO,FRANSISCO CANARO.MILONGUEANDO CON CANARO,3,EL CHINO PANTALEON
"DI SARLI, CARLOS",CON ALMA Y VIDA 1951/53,17,EL CHOCLO (1RA. VERSION)
"SASSONE, FLORINDO",BIEN MILONGUERO VOL.1,2,EL CHOCLO
"D ARIENZO, JUAN",MUCHO MUCHO,10,EL CHOCLO
CALÓ MIGUEL,COL 5003,7,EL CHOCLO
CALÓ MIGUEL,COL 5022,7,EL CHOCLO
CALÓ MIGUEL,COL 5022,7,EL CHOCLO
CALÓ MIGUEL,COL 5022,7,EL CHOCLO
CANARO FRANCISCO,LOS MEJORES INSTRUMENTALES,16,EL CHOCLO
CANARO FRANCISCO,COL 5024,3,EL CHOCLO
CANARO FRANCISCO,COL 5024,3,EL CHOCLO
CANARO FRANCISCO,COL 5024,3,EL CHOCLO
CANARO FRANSISCO,FRANSISCO CANARO.CANTA ALBERTO ARENAS,5,EL CHOCLO
"CANARO, FRANCISCO",5951542,1,EL CHOCLO
CASTILLO ALBERTO,ALBERTO CASTILLO.TANGOS Y VALSES,4,EL CHOCLO
CHARLO,UNA VOZ INOLVIDABLE,4,EL CHOCLO
"D ARIENZO, JUAN",LOS MEJORES INSTRUMENTALES 50/55,13,EL CHOCLO
"DAGOSTINO, ANGEL",TANGO DE LOS ANGELES,8,EL CHOCLO
DARIENZO JUAN,DOS MAESTROS...,12,EL CHOCLO
DE ANGELIS ALFREDO,PARA USTEDES,12,EL CHOCLO
DE ANGELIS ALFREDO,LOS MEJORES INSTRUMENTALES,3,EL CHOCLO
"DEL PIANO, EDUARDO","DEL PIANO, EDUARDO (1951/1980)",17,EL CHOCLO
DI SARLI CARLOS,LO MEJOR DE CARLOS DI SARLI,4,EL CHOCLO
DI SARLI CARLOS,LOS MEJORES INSTRUMENTALES,1,EL CHOCLO
FRANCINI-PONTIER,GRAN ENCUENTRO,9,EL CHOCLO
"FRESEDO, OSVALDO",TANGO MILONGUERO,21,EL CHOCLO
LAMARQUE LIBERTAD,LO MEJOR DE...,21,EL CHOCLO
NUEVO QUINTETO REAL,COL 5017,12,EL CHOCLO
NUEVO QUINTETO REAL,COL 5017,12,EL CHOCLO
NUEVO QUINTETO REAL,COL 5017,12,EL CHOCLO
ORQUESTA TIPICA VICTOR,ACORDATE,16,EL CHOCLO
QUINTETO DON PANCHO,VILLOLDO-GRECO,2,EL CHOCLO
QUINTETO DON PANCHO,ZORRO GRIS,1,EL CHOCLO
QUINTETO PIRINCHO,TANGOS DEL TIEMPO VIEJO,1,EL CHOCLO
RACCIATTI DONATO,URUGUAY YO TE SALUDO,4,EL CHOCLO
SALAMANCA FULVIO,TODO CORAZON,1,EL CHOCLO
"SALAMANCA, FULVIO",TODO CORAZON (1964/1967),1,EL CHOCLO
SALGAN-DE LIO GRAN ORQUESTA-JAPÓN,COL 5018,1,EL CHOCLO
SALGAN-DE LIO GRAN ORQUESTA-JAPÓN,COL 5018,1,EL CHOCLO
SALGAN-DE LIO GRAN ORQUESTA-JAPÓN,COL 5018,1,EL CHOCLO
SASSONE FLORINDO,TOMAS RADIALES Y DE TV,18,EL CHOCLO
"SASSONE, FLORINDO",EL TANGO EN LA TEVE. Y RADIO,18,EL CHOCLO
"SASSONE, FLORINDO","SASSONE, FLORINDO INSTRUMENTAL",17,EL CHOCLO
TROILO ANIBAL,VOLUMEN 11,2,EL CHOCLO
"TROILO, ANIBAL",MANO BRAVA VOL. 03,2,EL CHOCLO
VARGAS ANGEL,TANGOS FAMOSOS,7,EL CHOCLO
CANARO FRANCISCO,FIRPO-CANARO,20,EL CHUECO FANGIO
"D ARIENZO, JUAN",VIENTO SUR,17,EL CHUPETE
"DARIENZO, JUAN",TANGOS PARA EL MUNDO,14,EL CHUPETE
CALO MIGUEL,LOS MEJORES INSTRUMENTALES,19,EL CHUPETE
"CALO, MIGUEL","CALO, MIGUEL Y VOCES INVITADAS 1966/67",19,EL CHUPETE
DARIENZO JUAN,ESTE ES EL REY,6,EL CHUPETE
DARIENZO JUAN,EU 16009,16,EL CHUPETE
DARIENZO JUAN,EU 16009,16,EL CHUPETE
DARIENZO JUAN,EU 16009,16,EL CHUPETE
DEMARE LUCIO,LOS MEJORES INSTRUMENTALES,4,EL CHUPETE
DEMARE LUCIO,VOLUMEN 1,18,EL CHUPETE
DEMARE LUCIO,DAN 401,17,EL CHUPETE
"DEMARE, LUCIO",AL COMPAS DE UN TANGO 1938/1942,16,EL CHUPETE
DONATO EDGARDO,LOS MEJORES INSTRUMENTALES,19,EL CHUPETE
"DONATO, EDGARDO",ORQUESTAS OLVIDADAS VOL. 1,16,EL CHUPETE
ORQUESTA VICTOR POPULAR,CONJUNTOS DEL SELLO VICTOR,8,EL CHUPETE
"TROILO , ANIBAL",INSTRUMENTAL 1941--1944,10,EL CHUPETE
TROILO ANIBAL,VOLUMEN 2,21,EL CHUPETE
PUGLIESE OSVALDO,HOMENAJE II,8,EL CIELO EN LAS MANOS
"CANARO, FRANCISCO",VIEJOS TANGOS DE MI FLOR,15,EL CIRUJA
BASSO JOSE,VOLUMEN 2,6,EL CIRUJA
"DI SARLI, CARLOS",TANGUEANDO TE QUIERO,2,EL CIRUJA
FRANCINI-PONTIER,VOLUMEN 3,13,EL CIRUJA
QUINTETO DON PANCHO,ZORRO GRIS,18,EL CIRUJA
"D ARIENZO, JUAN",ATINECHE,23,EL CISNE
"MONTERO, MIGUEL",SUS PRIMERAS GRABACIONES,3,EL CLAVELITO
"DAGOSTINO, ANGEL",TANGO DE LOS ANGELES VOL. 3,13,EL COCHERITO
D AGOSTINO ANGEL,EL BAR DE ROSENDO,1,EL COCHERITO
DAGOSTINO ANGEL,EU 16011,13,EL COCHERITO
DAGOSTINO ANGEL,EU 16011,13,EL COCHERITO
DAGOSTINO ANGEL,EU 16011,13,EL COCHERITO
FIRPO ROBERTO,DE VUELTA AL PAGO,18,EL COMPINCHE
VILLASBOAS MIGUEL QUINTETO,FIRPO ROBERTO,20,EL COMPINCHE
FRESEDO OSVALDO,MALDONADO,18,EL CONVENTILLO
TROILO ANIBAL,VOLUMEN 19,5,EL CONVENTILLO
TANTURI RICARDO,UNA EMOCION,20,EL CORAZON ME DECIA
CANARO FRANCISCO,ALMA PORTEÑA,8,EL CORAZON ME ENGAÑO
DARIENZO JUAN,MILONGA DEL 83,13,EL CORAZON ME ENGAÑO
DAGOSTINO ANGEL,EU 16011,3,EL CORNETIN DEL TRANVIA
DAGOSTINO ANGEL,EU 16011,3,EL CORNETIN DEL TRANVIA
DAGOSTINO ANGEL,EU 16011,3,EL CORNETIN DEL TRANVIA
LOMUTO FRANCISCO,QUE TIEMPO AQUEL,13,EL CORNETIN DEL TRANVIA
FILIBERTO JUAN DE DIOS,RESPONSO MALEVO,8,EL CREDO
LAURENZ PEDRO,PATRIA MIA,12,EL CRIOLLITO ORIENTAL
LAURENZ PEDRO,VOLUMEN 3,4,EL CRIOLLITO ORIENTAL
"LAURENZ, PEDRO",CREACIONES INOLVIDABLES CON PODESTA Y BERMUDEZ,13,EL CRIOLLITO ORIENTAL
CANARO FRANCISCO,CUARTITO AZUL,26,EL CUARTEADOR
CANARO FRANCISCO,LA ROMPEDORA,18,EL CUARTEADOR
"DAGOSTINO, ANGEL",TANGO DE LOS ANGELES,9,EL CUARTEADOR
TROILO ANIBAL,VOLUMEN 1,18,EL CUARTEADOR
VARGAS ANGEL,COL 5011,23,EL CUARTEADOR
CANARO FRANSISCO,FRANSISCO CANARO.CANTA ERNESTO FAMA VOL2,16,EL CUARTO ESTA POR LLEGAR
CALO MIGUEL,MIGUEL CALO.RECORDANDO VIEJOS TEMAS,12,EL CUATRERO
LOS ASTROS DEL TANGO,VOL. 2,1,EL CUATRERO
ORQUESTA TIPICA PORTEÑA,BARDI AGUSTIN,2,EL CUATRERO
ORQUESTA TIPICA PORTEÑA,CONJUNTOS DEL SELLO VICTOR,11,EL CUATRERO
VARDARO ELVINO,LOS MEJORES INSTRUMENTALES,13,EL CUATRERO
"MAGLIO, JUAN (PACHO)",SABADO INGLES,18,EL CURDELA
VILLASBOAS MIGUEL QUINTETO,VILLOLDO-GRECO,20,EL CUZQUITO
CALO MIGUEL,MIGUEL CALO.SUS EXITOS VON RAUL IRIARTE VOL 2,18,EL DESAFIO
TROILO ANIBAL,VOLUMEN 4,13,EL DESAFIO
TROILO ANIBAL,MILONGAS,8,EL DESAFIO
ASTOR PIAZZOLLA Y SU ORQUESTA TIPICA,SU PRIMERA ORQUESTA,3,EL DESBANDE
PIAZZOLLA ASTOR,HOMENAJE II,2,EL DESBANDE
PIAZZOLLA ASTOR,1945/1951,5,EL DESBANDE
RYOTA KOMATSU,INSTRUMENTALES-1,16,EL DESBANDE
VARGAS ANGEL,EL RUISEÑOR DE BUENOS AIRES VOL. 2,19,EL DESPERTAR
VARELA HECTOR,GRANDES EXITOS,19,EL DESTINO LA LLEVO
"FRESEDO, OSVALDO",SUS EXITOS CON O. SERPA Y R. RUIZ,7,EL DIA DE TU AUSENCIA
FRESEDO OSVALDO,TANGO GRIS,6,EL DIA DE TU AUSENCIA
"DONATO, EDGARDO","DONATO, EDGARDO 1933 -- 1941",6,EL DIA QUE ME QUIERAS
"ARTOLA, HECTOR MARIA",HALCON NEGRO 1937/1962,9,EL DIA QUE ME QUIERAS
CASAL JORGE,LA ULTIMA CITA,8,EL DIA QUE ME QUIERAS
DENIS AIDA Y LOS CAVA BENGAL,EL TANGO EN LA TV,8,EL DIA QUE ME QUIERAS
DIAZ HUGO,TANGOS EN ARMONICA,5,EL DIA QUE ME QUIERAS
DONATO EDGARDO,CORRALES VIEJOS,14,EL DIA QUE ME QUIERAS
LEIVA SUSY,ANTES DEL ADIOS,13,EL DIA QUE ME QUIERAS
MARINO ALBERTO,RADIALES INEDITAS,11,EL DIA QUE ME QUIERAS
"MORES, MARIANO",TEMAS MEMORABLES,20,EL DIA QUE ME QUIERAS
TROILO ANIBAL,TANGOS FAMOSOS,10,EL DIA QUE ME QUIERAS
CANARO FRANCISCO,CUARTITO AZUL,11,EL DIA QUE TE FUISTE
CANARO FRANSISCO,FRANSISCO CANARO.CANTA ROBERTO MAIDA VOL 2,16,EL DIA QUE YO PUEDA
FILIBERTO JUAN DE DIOS,RESPONSO MALEVO,18,EL DIECISEIS
"DONATO, EDGARDO","DONATO, EDGARDO 1933 -- 1941",15,EL DISTINGUIDO CIUDADANO
DI SARLI CARLOS,EL DISTINGUIDO CIUDADANO,17,EL DISTINGUIDO CIUDADANO
"DI SARLI, CARLOS",COLECC. 78 RPM 1940 - 1947,14,EL DISTINGUIDO CIUDADANO
DONATO EDGARDO,SACALE PUNTA,19,EL DISTINGUIDO CIUDADANO
DONATO EDGARDO,CHIQUE,18,EL DISTINGUIDO CIUDADANO
GARCIA JOSE,LOS ZORROS GRISES,2,EL DISTINGUIDO CIUDADANO
TROILO ANIBAL,VOLUMEN 3,21,EL DISTINGUIDO CIUDADANO
CALO MIGUEL,"MIGUEL CALO.SUS EXITOS CON PODESTA,ORTIZ Y BERON",20,EL DIVORCIO
"TROILO , ANIBAL",INSTRUMENTAL 1941--1944,16,EL ELEGANTE --CHIQUE--
DOMINGUEZ ANGEL,EU 16014,1,EL EMBROLLO
DOMINGUEZ ANGEL,EU 16014,1,EL EMBROLLO
DOMINGUEZ ANGEL,EU 16014,1,EL EMBROLLO
PUGLIESE OSVALDO,DAN 4005,1,EL EMBROLLO
PUGLIESE OSVALDO,LOS MEJORES INSTRUMENTALES,6,EL EMBROLLO
"PUGLIESE, OSVALDO",EL ESLABON PERDIDO,13,"EL ENCOPAO (DE LA PELICULA, MIS CINCO HIJOS)"
ORQUESTA,ASI CANTA HORACIO PALMA,22,EL ENCOPAO
PUGLIESE OSVALDO,VIVO TEATRO COLON,22,EL ENCOPAO
PUGLIESE OSVALDO,BONUS TRACK,13,EL ENCOPAO
PUGLIESE OSVALDO,BONUS TRACK,13,EL ENCOPAO
PUGLIESE OSVALDO,BONUS TRACK,13,EL ENCOPAO
RODRIGUEZ ENRIQUE,ESTO ES PURO COMPAS,25,EL ENCOPAO
TROILO ANIBAL,VOLUMEN 2,15,EL ENCOPAO
GOBBI ALFREDO,VOLUMEN 4,7,EL ENGOBBIAO
"D ARIENZO, JUAN",MUCHO MUCHO,8,EL ENTRERRIANO
"DARIENZO, JUAN",TANGOS PARA EL MUNDO,12,EL ENTRERRIANO
"DE ANGELIS, ALFEDO","LOS DUOS MARTEL, J. --- DANTE, C.",17,EL ENTRERRIANO
"DE ANGELIS, ALFREDO",LOS PRIMEROS INSTRUMENTALES,5,EL ENTRERRIANO
"TROILO , ANIBAL",INSTRUMENTAL 1941--1944,19,EL ENTRERRIANO
BIAGI RODOLFO,TANGO Y MILONGA,15,EL ENTRERRIANO
BIAGI RODOLFO,PINTA ORILLERA,16,EL ENTRERRIANO
"BIAGI, RODOLFO","BIAGI, RODOLFO INSTRUMENTALES 41/65",1,EL ENTRERRIANO
CANARO FRANCISCO,LOS MEJORES INSTRUMENTALES,8,EL ENTRERRIANO
CANARO FRANSISCO,FRANSISCO CANARO.INSTRUMENTALES PARA BAILAR,10,EL ENTRERRIANO
CANARO JUAN,ESTIRPE DE TANGO,9,EL ENTRERRIANO
DARIENZO JUAN,ESTE ES EL REY,3,EL ENTRERRIANO
DE ANGELIS ALFREDO,PARA USTEDES...,3,EL ENTRERRIANO
DEMARIA CARLOS,BRINDIS DE TANGO,3,EL ENTRERRIANO
"DEMARIA, CARLOS",ORQUESTAS OLVIDADAS VOL. 1,8,EL ENTRERRIANO
FRANCINI-PONTIER,BATC 89226,1,EL ENTRERRIANO
FRANCINI-PONTIER,GRAN ENCUENTRO,21,EL ENTRERRIANO
FRANCINI-PONTIER,INSTRUMENTAL-2,5,EL ENTRERRIANO
FRESEDO OSVALDO,MALDONADO,2,EL ENTRERRIANO
"FRESEDO, OSVALDO",TANGO MILONGUERO,12,EL ENTRERRIANO
LA TUBATANGO,BIEN CANYENGUE,7,EL ENTRERRIANO
ORQUESTA RADIO VICTOR ARGENTINA,COLECCION 78 RPM 1929 - -1944,18,EL ENTRERRIANO
ORQUESTA RADIO VICTOR ARGENTINA,CONJUNTOS DEL SELLO VICTOR,19,EL ENTRERRIANO
"PIAZZOLLA, ASTOR",OCTETO BUENOS AIRES -1957,7,EL ENTRERRIANO
"PIAZZOLLA, ASTOR",OCTETO BUENOS AIRES -1957,7,EL ENTRERRIANO
"PIAZZOLLA, ASTOR",OCTETO BUENOS AIRES -1957,7,EL ENTRERRIANO
QUINTETO PIRINCHO,TANGOS DEL TIEMPO VIEJO,2,EL ENTRERRIANO
TROILO ANIBAL,VOLUMEN 4,23,EL ENTRERRIANO
TROILO ANIBAL,VOLUMEN 11,1,EL ENTRERRIANO
TROILO ANÍBAL,COL 5001,9,EL ENTRERRIANO
"TROILO, ANIBAL",MANO BRAVA VOL. 03,1,EL ENTRERRIANO
CANARO FRANCISCO,RAYERO,2,EL ESGUNFIO
LA TUBATANGO,ZORRO GRIS,6,EL ESPERITA
"FRESEDO, OSVALDO",DE UN TIEMPO QUE PASO,6,EL ESPIANTE
DE CARO JULIO,COBIAN-FRESEDO,13,EL ESPIANTE
FRESEDO OSVALDO,LOS MEJORES INSTRUMENTALES,6,EL ESPIANTE
FRESEDO OSVALDO,MALDONADO,10,EL ESPIANTE
"FRESEDO, OSVALDO",TIGRE VIEJO COLEC. 78 RPM 1933 - 1948,1,EL ESPIANTE
BASSO JOSÉ,COL 5023,7,EL ESQUINAZO
BASSO JOSÉ,COL 5023,7,EL ESQUINAZO
BASSO JOSÉ,COL 5023,7,EL ESQUINAZO
CANARO FRANSISCO,FRANSISCO CANARO.INSTRUMENTALES PARA BAILAR,4,EL ESQUINAZO
"D ARIENZO, JUAN",ATANICHE,20,EL ESQUINAZO
DARIENZO JUAN,MILONGUEANDO...,4,EL ESQUINAZO
FIRPO ROBERTO,VILLOLDO-GRECO,4,EL ESQUINAZO
"FIRPO, ROBERTO",LAS MILONGAS MAS MILONGAS,20,EL ESQUINAZO
LOS TUBATANGO,UNA NOCHE DE GARUFA,12,EL ESQUINAZO
QUINTETO PIRINCHO,TANGOS DEL TIEMPO VIEJO,17,EL ESQUINAZO
BASSO JOSE,JOSE BASSO.SUS EXITOS CON OSCAR FERRARI,16,EL ESTAGIARIO
DI SARLI CARLOS,MILONGUERO VIEJO,14,EL ESTAGIARIO
DONATO EDGARDO,SACALE PUNTA,8,EL ESTAGIARIO
DONATO EDGARDO,CHIQUE,12,EL ESTAGIARIO
"DONATO, EDGARDO","DONATO, EDGARDO 1933 --1941",8,EL ESTAGIARIO
"PEDEVILLA, RICARDO",A BAILARLO (1950 -- 1953),7,EL ESTAGIARIO
PEDRO MAFFIA,LOS MEJORES INSTRUMENTALES,17,EL ESTAGIARIO
"SASSONE, FLORINDO","SASSONE, FLORINDO 78 RPM 1947/56",22,EL ESTRELLERO
BIAGI RODOLFO,TANGO Y MILONGA,9,EL ESTRIBO
BIAGI RODOLFO,PURA CLASE,26,EL ESTRIBO
BIAGI RODOLFO,VILLOLDO-GRECO,13,EL ESTRIBO
RACCIATTI DONATO,LINDO TIEMPO...,16,EL FIN DE NUESTRO AMOR
LA TUBATANGO,ZORRO GRIS,9,EL FIRULETE
LAS ROSITAS,ESTACIONES,10,EL FIRULETE
QUINTETO DON PANCHO,MORES MARIANO,1,EL FIRULETE
QUINTETO PIRINCHO,LAS MILONGAS MAS MILONGAS,8,EL FIRULETE
"FRESEDO, OSVALDO",MILONGUERO VIEJO,6,EL FLACO ABEL
"CANARO, FRANCISCO",VIEJOS TANGOS DE MI FLOR,13,EL FLETE
"D ARIENZO, JUAN",ATANICHE,7,EL FLETE
FRESEDO OSVALDO,LOS MEJORES INSTRUMENTALES,20,EL FLETE
FRESEDO OSVALDO,DAN 4005,19,EL FLETE
LA TUBATANGO,BIEN CANYENGUE,11,EL FLETE
ORQUESTA TIPICA PORTEÑA,CONJUNTOS DEL SELLO VICTOR,12,EL FLETE
QUINTETO DON PANCHO,ZORRO GRIS,15,EL FLETE
VARELA HECTOR,LOS MEJORES INSTRUMENTALES,4,EL FLETE
VARELA HECTOR,VILLOLDO-GRECO,17,EL FLETE
VARELA HECTOR,LOS MEJORES INSTRUMENTALES,9,EL FUSTAZO
"CANARO, FRANCISCO",VIEJOS TANGOS DE MI FLOR,10,EL GARRON
QUINTETO DON PANCHO,ZORRO GRIS,11,EL GARRON
CASTILLO ALBERTO,ALBERTO CASTILLO.CANDOMBES Y MILONGA,9,EL GATITO EN EL TEJADO
GOYENECHE ROBERTO,VOLUMEN II,13,EL GORDO TRISTE
"FRANCINI, ENRIQUE MARIO",ENRIQUE MARIO FRANCINI,11,EL GURI
JULIO AHUMADA ORQUESTA,COL 5015,14,EL GURÍ
JULIO AHUMADA ORQUESTA,COL 5015,14,EL GURÍ
JULIO AHUMADA ORQUESTA,COL 5015,14,EL GURÍ
DEL RIO ALFREDO,COL 5013,1,EL HIJO CRUEL
DEL RIO ALFREDO,COL 5013,1,EL HIJO CRUEL
DEL RIO ALFREDO,COL 5013,1,EL HIJO CRUEL
DEL RIO ALFREDO,COL 5013,1,EL HIJO CRUEL
DEL RIO ALFREDO,COL 5013,1,EL HIJO CRUEL
DEL RIO ALFREDO,COL 5013,1,EL HIJO CRUEL
DEL RIO ALFREDO,COL 5013,1,EL HIJO CRUEL
GOBBI ALFREDO,VOLUMEN 3,5,EL HIJO CRUEL
"GOBBI, ALFREDO",ALFREDO GOBBI Y SUS CANTORES,8,EL HIJO CRUEL
FRANCINI-PONTIER,VOLUMEN 3,8,EL HIJO TRISTE
OMAR NELLY,TOMAS RADIALES II,16,EL HIJO TRISTE
CASTILLO ALBERTO,ALBERTO CASTILLO.SUS PRIMEROS EXITOS VOL 2,9,EL HUERFANO
"FEDERICO, DOMINGO",YUYO VERDE (1943/1948),10,EL HUERFANO
RODRIGUEZ ENRIQUE,MOTIVO SENTIMENTAL,1,EL HUERFANO
TAGINI FLAVIO,7 LOCOS,5,EL HUMILLADO
TAGINI FLAVIO,7 LOCOS,5,EL HUMILLADO
TAGINI FLAVIO,7 LOCOS,5,EL HUMILLADO
"DE ANGELIS, ALFREDO","LOS DUOS MARTEL, J.--- DANTE, C.",20,EL HURACAN
DARIENZO JUAN,AQUELLOS TANGOS...,16,EL HURACAN
DE ANGELIS ALFREDO,PARA USTEDES...,6,EL HURACAN
DELGADO DIONISIO,RADIALES INEDITAS,16,EL HURACAN
DONATO EDGARDO,CORRALES VIEJOS,1,EL HURACAN
DONATO EDGARDO,EL HURACAN,1,EL HURACAN
SALAMANCA FULVIO,ASI FUI YO,16,EL HURACAN
BIAGI RODOLFO,TANGO Y MILONGA,1,EL INCENDIO
BIAGI RODOLFO,PURA CLASE,1,EL INCENDIO
DI SARLI CARLOS,LO MEJOR DE CARLOS DI SARLI,7,EL INCENDIO
DI SARLI CARLOS,MILONGUERO VIEJO,5,EL INCENDIO
DI SARLI CARLOS,EL DISTINGUIDO CIUDADANO 1951,1,EL INCENDIO
GOBBI ALFREDO,VOLUMEN 1,8,EL INCENDIO
"PEDEVILLA, RICARDO",ORQUESTAS OLVIDADAS VOL. 1,18,EL INCENDIO
"PEDEVILLA, RICARDO",A BAILARLO (1950 -- 1953),23,EL INCENDIO
DI SARLI CARLOS,EL DISTINGUIDO CIUDADANO,12,EL INGENIERO
DI SARLI CARLOS,LOS MEJORES INSTRUMENTALES,9,EL INGENIERO
DI SARLI CARLOS,DOS MAESTROS...,6,EL INGENIERO
DEL RIO ALFREDO,COL 5013,18,EL INQUILINO
DEL RIO ALFREDO,COL 5013,9,EL INQUILINO
DEL RIO ALFREDO,COL 5013,18,EL INQUILINO
DEL RIO ALFREDO,COL 5013,9,EL INQUILINO
DEL RIO ALFREDO,COL 5013,18,EL INQUILINO
DEL RIO ALFREDO,COL 5013,9,EL INQUILINO
DEL RIO ALFREDO,COL 5013,18,EL INQUILINO
DEL RIO ALFREDO,COL 5013,9,EL INQUILINO
DEL RIO ALFREDO,COL 5013,18,EL INQUILINO
DEL RIO ALFREDO,COL 5013,9,EL INQUILINO
DEL RIO ALFREDO,COL 5013,18,EL INQUILINO
GOBBI ALFREDO,VOLUMEN 3,21,EL INQUILINO
"D ARIENZO, JUAN",MUCHO MUCHO,19,EL INTERNADO
BASSO JOSE,LOS MEJORES INSTRUMENTALES,18,EL INTERNADO
"BIAGI, RODOLFO","BIAGI, RODOLFO INSTRUMENTAL 41/65",13,EL INTERNADO
CANARO FRANSISCO,FRANSISCO CANARO.INTRUMENTALES DE COLECCION,9,EL INTERNADO
"D ARIENZO, JUAN",LOS MEJORES INSTRUMENTALES 50/55,14,EL INTERNADO
DARIENZO JUAN,DOS MAESTROS...,13,EL INTERNADO
JUAN POLITO,EL INTERNADO,6,EL INTERNADO
POLITO JUAN,EL INTERNADO,5,EL INTERNADO
POLITO JUAN,LOS MEJORES INSTRUMENTALES,11,EL INTERNADO
POLITO JUAN,CANARO FRANCISCO,14,EL INTERNADO
QUINTETO PIRINCHO,TANGOS DEL TIEMPO VIEJO,12,EL INTERNARO
"D ARIENZO, JUAN",VIENTO SUR,7,EL IRRESISTIBLE
"CANARO, FRANCISCO",VIEJOS TANGOS DE MI FLOR,14,EL IRRESISTIBLE
"BIAGI, RODOLFO","BIAGI, RODOLFO INSTRUMENTALES 41/65",7,EL IRRESISTIBLE
"CALDARA, JORGE",ORQUESTAS OLVIDADAS VOL. 1,17,EL IRRESISTIBLE
"D ARIENZO, JUAN",LOS MEJORES INSTRUMENTALES 50/55,16,EL IRRESISTIBLE
DARIENZO JUAN,DOS MAESTROS...,17,EL IRRESISTIBLE
"FRESEDO, OSVALDO",TANGO MILONGUERO,10,EL IRRESISTIBLE
LOMUTO FRANCISCO,QUE TIEMPO AQUEL,1,EL IRRESISTIBLE
QUINTETO DON PANCHO,ZORRO GRIS,17,EL IRRESISTIBLE
TROILO ANIBAL,VOLUMEN 21,6,EL IRRESISTIBLE
"TROILO, ANIBAL",DE MUY ADENTRO VOL. 04,13,EL IRRESISTIBLE
VARELA HECTOR,LOS MEJORES INSTRUMENTALES,20,EL IRRESISTIBLE
DI SARLI CARLOS,MILONGUERO VIEJO,8,EL JAGUAR
"DI SARLI, CARLOS",CON ALMA Y VIDA 1951/53,15,EL JAGUEL (2DA. VERSION)
DI SARLI CARLOS,DAN 4005,4,EL JAGUEL
DI SARLI CARLOS,LOS MEJORES INSTRUMENTALES,14,EL JAGUEL
"DI SARLI, CARLOS",COLECC. 78 RPM 1943 - 1948,3,EL JAGÜEL
LOS SEÑORES DEL TANGO,MILONGUERO VIEJO,15,EL JAGUEL
LOS SEÑORES DEL TANGO,MILONGUERO VIEJO,15,EL JAGUEL
