A mi esposa,T9009760569,tango,Quinteto Ángel,-,2006-09-01--04,02:52
A mi juego me han llamao,Z0999901671,milonga criolla,Ricardo Luis Brignolo,Luis Díaz,1930,03:40
A mi madre,,canción,,Ignacio Corsini,,
A mi madre,T0370001094,vals,Adolfo Pérez,,1950-06-06,02:45
A mi madre,T0370001094,vals,Alberto Oscar Gentile,-,1950,
A mi madre,T0370001094,vals,Alberto Oscar Gentile,-,1950--1960,02:41
A mi madre,Z0000000284,canción,"Ángel Domingo Riverol, Guillermo Barbieri, José María Aguilar",Carlos Gardel,1933-10-25,
A mi madre,Z0000000284,canción,,Carlos Gardel,1930-05-22,
A mi madre,Z0000000284,canción,,Carlos Gardel,1933-10-25,
A mi madre,,vals,Carlos García,-,,02:50
A mi madre,T0370001094,vals,"Enrique Francini, Armando Pontier",Roberto Rufino,1948-05-10,02:45
A mi madre,T0370001094,vals,Enrique Mora,-,1950-11-06,02:12
A mi madre,T0370001083,tango,Ciriaco Ortiz,-,1939,02:22
A mi madre,T0370001094,vals,,,,02:19
A mi madre,T0370001094,vals,José Servidio,-,1957,02:37
A mi madre,,vals,Juan Félix Maglio,-,1927-02-27,02:53
A mi madre,T0370001094,vals,Juan Sánchez Gorio,-,1953-09,02:38
A mi madre,,tango,Manuel Pizarro,,1932,02:55
A mi madre,T0370001094,vals,Juan de Dios Filiberto,-,,02:28
A mi madre,T0370001094,vals,Roberto Firpo,-,1928-05-28,02:40
A mi madre,T0370001094,vals,"Quinteto Pirincho, dir. Francisco Canaro",-,1941--1958,02:32
A mi madre,T0370001094,vals,"Quinteto Pirincho, dir. Francisco Canaro",-,1941-06-06,02:34
A mi madrecita,T0370001118,tango,,Héctor Palacios,,02:52
A mi madrecita,T0370001118,tango,-unspecified guitars-,Héctor Palacios,1936-03-25,02:56
A mi madrecita,T0370001118,tango,-unspecified orchestra-,Libertad Lamarque,1931-11-19,03:00
A mí me copa el tango,Z0000257851,tango,Osvaldo Pugliese,Abel Córdoba,1982-11-15,03:04
A mí me gusta el tango,,tango,,,,02:53
A mí me llaman Juan Tango,Z0000064339,tango,,Carlos Dante,,02:47
A mí me llaman Juan Tango,Z0000064339,tango,Carlos Di Sarli,Roberto Rufino,1943-11-04,02:59
